title|doi
A pesticide and iPSC dopaminergic neuron screen identifies and classifies Parkinson-relevant pesticides|10.1038/s41467-023-38215-z
Editorial: Brain stimulation in cognition and disease|10.3389/fnins.2023.1213272
Genetic risk factor clustering within and across neurodegenerative diseases|10.1093/brain/awad161
Impulse control disorder in Parkinson’s disease is associated with abnormal frontal value signalling|10.1093/brain/awad162
α-Synuclein fibril and synaptic vesicle interactions lead to vesicle destruction and increased lipid-associated fibril uptake into iPSC-derived neurons|10.1038/s42003-023-04884-1
miEAA 2023: updates, new functional microRNA sets and improved enrichment visualizations|10.1093/nar/gkad392
Alternating Magnetic Field-Promoted Nanoparticle Mixing: The On-Chip Immunocapture of Serum Neuronal Exosomes for Parkinson’s Disease Diagnostics|10.1021/acs.analchem.3c00357
FBXL4 suppresses mitophagy by restricting the accumulation of NIX and BNIP3 mitophagy receptors|10.15252/embj.2022112767
Neurofilament Light Protein Predicts Disease Progression in Idiopathic REM Sleep Behavior Disorder|10.3233/jpd-223519
Prediction of Cognitive Decline in Parkinson’s Disease Using Clinical and DAT SPECT Imaging Features, and Hybrid Machine Learning Systems|10.3390/diagnostics13101691
Quantitative proteomics and phosphoproteomics of urinary extracellular vesicles define putative diagnostic biosignatures for Parkinson’s disease|10.1038/s43856-023-00294-w
Shared molecular genetic factors influence subcortical brain morphometry and Parkinson’s disease risk|10.1038/s41531-023-00515-y
Single-domain antibody–based noninvasive in vivo imaging of α-synuclein or tau pathology|10.1126/sciadv.adf3775
Trajectories of depressive symptoms over 20 years and subsequent lower urinary tract symptoms and impact among women|10.1097/gme.0000000000002193
Immunological Features of LRRK2 Function and Its Role in the Gut-Brain Axis Governing Parkinson’s Disease|10.3233/jpd-230021
Proposal for a Biologic Staging System of Parkinson’s Disease|10.3233/jpd-225111
Application of Aligned-UMAP to longitudinal biomedical studies|10.1016/j.patter.2023.100741
Digital technologies: Innovations that transform the face of drug development|10.1111/cts.13533
Golgi-IP, a tool for multimodal analysis of Golgi molecular content|10.1073/pnas.2219953120
Reduced and Delayed Cerebrovascular Reactivity in Patients with Parkinson's Disease|10.1002/mds.29429
Potential Protective Link Between Type I Diabetes and Parkinson's Disease Risk and Progression|10.1002/mds.29424
Genome-wide structural variant analysis identifies risk loci for non-Alzheimer’s dementias|10.1016/j.xgen.2023.100316
Moderating effects of uric acid and sex on cognition and psychiatric symptoms in asymmetric Parkinson’s disease|10.1186/s13293-023-00510-1
Need for personalized monitoring of Parkinson’s disease: the perspectives of patients and specialized healthcare providers|10.3389/fneur.2023.1150634
0908 Multi-modal Recruitment of Individuals with REM Sleep Behavior Disorder into a Longitudinal Prodromal Parkinson’s Study|10.1093/sleep/zsad077.0908
Basal ganglia neurons in healthy and parkinsonian primates generate recurring sequences of spikes|10.1152/jn.00265.2022
BKCa nitrosylation is associated with cerebral microvascular dysfunction in female 5x-FAD mice|10.1152/physiol.2023.38.s1.5731336
Future directions in psychiatric neurosurgery: Proceedings of the 2022 American Society for Stereotactic and Functional Neurosurgery meeting on surgical neuromodulation for psychiatric disorders|10.1016/j.brs.2023.05.011
Impact of APOE Genotype on Cognition in Idiopathic and Genetic Forms of Parkinson's Disease|10.1002/mds.29399
Pregnenolone for the treatment of L-DOPA-induced dyskinesia in Parkinson's disease|10.1016/j.expneurol.2023.114370
Regulatory imbalance between LRRK2 kinase, PPM1H phosphatase, and ARF6 GTPase disrupts the axonal transport of autophagosomes|10.1016/j.celrep.2023.112448
Unconventional initiation of PINK1/Parkin mitophagy by Optineurin|10.1016/j.molcel.2023.04.021
Neuroinflammation and white matter alterations in occupational manganese exposure assessed by diffusion basis spectrum imaging|10.1016/j.neuro.2023.04.013
Striatal serotonin transporter gain-of-function in L-DOPA-treated, hemi-parkinsonian rats|10.1016/j.brainres.2023.148381
Local genetic correlations exist among neurodegenerative and neuropsychiatric diseases|10.1038/s41531-023-00504-1
The identification of high-performing antibodies for Vacuolar protein sorting-associated protein 35 (hVPS35) for use in Western Blot, immunoprecipitation and immunofluorescence|10.12688/f1000research.133696.1
What does heritability of Alzheimer’s disease represent?|10.1371/journal.pone.0281440
Characterizing expression changes in noncoding RNAs during aging and heterochronic parabiosis across mouse tissues|10.1038/s41587-023-01751-6
CSF alpha‐synuclein aggregates by seed amplification and clinical presentation of AD|10.1002/alz.13109
Large multi-ethnic genetic analyses of amyloid imaging identify new genes for Alzheimer disease|10.1186/s40478-023-01563-4
Novel therapeutic approaches to target neurodegeneration|10.1111/bph.16078
The image and data archive at the laboratory of neuro imaging|10.3389/fninf.2023.1173623
The Sequence Effect Worsens Over Time in Parkinson’s Disease and Responds to Open and Closed-Loop Subthalamic Nucleus Deep Brain Stimulation|10.3233/jpd-223368
Cholinergic system correlates of postural control changes in Parkinson’s disease freezers|10.1093/brain/awad134
Astrocytic TDP-43 dysregulation impairs memory by modulating antiviral pathways and interferon-inducible chemokines|10.1126/sciadv.ade1282
Adult-specific Reelin expression alters striatal neuronal organization: implications for neuropsychiatric disorders|10.3389/fncel.2023.1143319
Development and early qualitative evidence of two novel patient-reported outcome instruments to assess daily functioning in people with early-stage Parkinson’s|10.1186/s41687-023-00577-9
Long-term exposure to low-level particulate air pollution and Parkinson's disease diagnosis - A Finnish register-based study|10.1016/j.envres.2023.115944
Disrupting the α-synuclein-ESCRT interaction with a peptide inhibitor mitigates neurodegeneration in preclinical models of Parkinson’s disease|10.1038/s41467-023-37464-2
Cerebral white matter rarefaction has both neurodegenerative and vascular causes and may primarily be a distal axonopathy|10.1093/jnen/nlad026
Episodic memory deficit in HIV infection: common phenotype with Parkinson’s disease, different neural substrates|10.1007/s00429-023-02626-x
Intermediate Deformable Image Registration Via Windowed Cross-Correlation|10.1109/isbi53787.2023.10230715
Using a smartwatch and smartphone to assess early Parkinson’s disease in the WATCH-PD study|10.1038/s41531-023-00497-x
Assessment of heterogeneity among participants in the Parkinson's Progression Markers Initiative cohort using α-synuclein seed amplification: a cross-sectional study|10.1016/s1474-4422(23)00109-6
Brain Structure Ages -- A new biomarker for multi-disease classification|10.48550/arxiv.2304.06591
In vivo detection of substantia nigra and locus coeruleus volume loss in Parkinson’s disease using neuromelanin-sensitive MRI: Replication in two cohorts|10.1371/journal.pone.0282684
Targeted Extracellular Vesicle Gene Therapy for Modulating Alpha-Synuclein Expression in Gut and Spinal Cord|10.3390/pharmaceutics15041230
USP8 Down-Regulation Promotes Parkin-Independent Mitophagy in the Drosophila Brain and in Human Neurons|10.3390/cells12081143
Capturing Differences in the Regulation of LRRK2 Dynamics and Conformational States by Small Molecule Kinase Inhibitors|10.1021/acschembio.2c00868
Ethical and Responsible Use of AI/ML in the Earth, Space, and Environmental Sciences|10.22541/essoar.168132856.66485758
The effect of cardiovascular risk on disease progression in de novo Parkinson's disease patients: An observational analysis|10.3389/fneur.2023.1138546
The longitudinal progression of autonomic dysfunction in Parkinson's disease: A 7-year study|10.3389/fneur.2023.1155669
Impact of the Dopamine System on Long‐Term Cognitive Impairment in Parkinson Disease: An Exploratory Study|10.1002/mdc3.13751
Low clinical sensitivity and unexpectedly high incidence for neuropathologically diagnosed progressive supranuclear palsy|10.1093/jnen/nlad025
Predictors of Future Deep Brain Stimulation Surgery in de novo Parkinson's Disease|10.1002/mdc3.13747
Association of coffee consumption and striatal volume in patients with Parkinson's disease and healthy controls|10.1111/cns.14216
The effects of AQP4 rs162009 on resting‐state brain activity in Parkinson's disease|10.1111/cns.14208
Feasibility and patient acceptability of a commercially available wearable and a smart phone application in identification of motor states in parkinson’s disease|10.1371/journal.pdig.0000225
Neuroprotective actions of a fatty acid nitroalkene in Parkinson’s disease|10.1038/s41531-023-00502-3
Exploring the genetic and genomic connection underlying neurodegeneration with brain iron accumulation and the risk for Parkinson’s disease|10.1038/s41531-023-00496-y
Glucocerebrosidase is imported into mitochondria and preserves complex I integrity and energy metabolism|10.1038/s41467-023-37454-4
Association of polygenic risk score with response to deep brain stimulation in Parkinson’s disease|10.1186/s12883-023-03188-5
Biomarkers for parkinsonian disorders in CNS-originating EVs: promise and challenges|10.1007/s00401-023-02557-1
Elevated urine BMP phospholipids in LRRK2 and VPS35 mutation carriers with and without Parkinson’s disease|10.1038/s41531-023-00482-4
Starburst amacrine cells, involved in visual motion perception, loose their synaptic input from dopaminergic amacrine cells and degenerate in Parkinson’s disease patients|10.1186/s40035-023-00348-y
Differences in Sex‐Specific Frequency of Glucocerebrosidase Variant Carriers and Familial Parkinsonism|10.1002/mds.29353
Remuneration and Recruitment of Study Participants for AD Cohort Studies From the General Public and From Minority Communities|10.1097/wad.0000000000000556
Olfactory Impairment Is the Main Predictor of Higher Scores at REM Sleep Behavior Disorder (RBD) Screening Questionnaire in Parkinson’s Disease Patients|10.3390/brainsci13040599
Quantitative Benefit-Risk Assessment in Medical Product Decision Making: A Good Practices Report of an ISPOR Task Force|10.1016/j.jval.2022.12.006
Workflows Community Summit 2022: A Roadmap Revolution|10.5281/zenodo.7750670
Evaluation of plasma levels of NFL, GFAP, UCHL1 and tau as Parkinson's disease biomarkers using multiplexed single molecule counting|10.1038/s41598-023-32480-0
Sex differences in associations between APOE ε2 and longitudinal cognitive decline|10.1002/alz.13036
Identification of a Putative α-synuclein Radioligand Using an in silico Similarity Search|10.1007/s11307-023-01814-9
Developing better digital health measures of Parkinson’s disease using free living data and a crowdsourced data analysis challenge|10.1371/journal.pdig.0000208
Central and peripheral α‐synuclein in Parkinson disease detected by seed amplification assay|10.1002/acn3.51753
Necroptosis inhibition counteracts neurodegeneration, memory decline, and key hallmarks of aging, promoting brain rejuvenation|10.1111/acel.13814
Modulating arousal to overcome gait impairments in Parkinson’s disease: how the noradrenergic system may act as a double-edged sword|10.1186/s40035-023-00347-z
Distribution of phosphorylated alpha-synuclein in non-diseased brain implicates olfactory bulb mitral cells in synucleinopathy pathogenesis|10.1038/s41531-023-00491-3
Generation of two induced pluripotent stem cell lines and the corresponding isogenic controls from Parkinson’s disease patients carrying the heterozygous mutations c.1290A > G (p.T351A) or c.2067A > G (p.T610A) in the RHOT1 gene encoding Miro1|10.1016/j.scr.2023.103085
Long-term cognitive decline prediction based on multi-modal data using Multimodal3DSiameseNet: transfer learning from Alzheimer’s disease to Parkinson’s disease|10.1007/s11548-023-02866-6
Genetic associations with age at dementia onset in the PSEN1 E280A Colombian kindred|10.1002/alz.13021
Structural connectivity and brain network analyses in Parkinson's disease: A cross-sectional and longitudinal study|10.3389/fneur.2023.1137780
Parkinson’s disease population-wide registries in the United States: Current and future opportunities|10.3389/fdgth.2023.1149154
Good vibrations: tactile cueing for freezing of gait in Parkinson’s disease|10.1007/s00415-023-11663-9
Lack of significant Lewy pathology in 237 essential tremor brains|10.1093/jnen/nlad022
Structure-based design and characterization of Parkin-activating mutations|10.26508/lsa.202201419
Toward a biomarker panel measured in CNS-originating extracellular vesicles for improved differential diagnosis of Parkinson’s disease and multiple system atrophy|10.1186/s40035-023-00346-0
Quantified Striatal Dopaminergic Denervation as Predictor for Motor Outcomes in Parkinson's Disease|10.1002/mdc3.13726
Genetics of Neurogenic Orthostatic Hypotension in Parkinson’s Disease, Results from a Cross-Sectional In Silico Study|10.3390/brainsci13030506
Abnormal dynamic functional connectivity changes correlated with non-motor symptoms of Parkinson’s disease|10.3389/fnins.2023.1116111
Longitudinal cognitive changes in patients with early Parkinson's disease and neuropsychiatric symptoms|10.1111/cns.14173
A Review of RRx-001: A Late-Stage Multi-Indication Inhibitor of NLRP3 Activation and Chronic Inflammation|10.1007/s40265-023-01838-z
Development of a Novel Electrochemiluminescence ELISA for Quantification of α-Synuclein Phosphorylated at Ser129 in Biological Samples|10.1021/acschemneuro.2c00676
Postmortem Cerebellar Volume Is Not Reduced in Essential Tremor: A Comparison with Multiple System Atrophy and Controls|10.3233/jpd-225033
Specific Detection of Physiological S129 Phosphorylated α-Synuclein in Tissue Using Proximity Ligation Assay|10.3233/jpd-213085
Inflammatory CSF profiles and longitudinal development of cognitive decline in sporadic and GBA-associated PD|10.1038/s41531-023-00476-2
Synaptic Density and Glucose Consumption in Patients with Lewy Body Diseases: An [11C]UCB‐J and [18F]FDG PET Study|10.1002/mds.29375
The Impact of the COVID‐19 Pandemic on Care Partners of People with Parkinson's Disease|10.1002/mdc3.13678
Self-Image in Women with Parkinson’s Disease|10.3233/jpd-230017
Reduction in GABAB on glia induce Alzheimer’s disease related changes|10.1016/j.bbi.2023.03.002
Age and sex differentially shape brain networks in Parkinson's disease|10.1111/cns.14149
Perceived Discrimination in Health Care for LGBTQIA+ People Living With Parkinson’s Disease|10.1093/geronb/gbad046
Imaging-based DBS programming help: Does it help?|10.1016/j.parkreldis.2023.105362
Progression of clinical markers in prodromal Parkinson’s disease and dementia with Lewy bodies: a multicentre study|10.1093/brain/awad072
A comparative blind study between skin biopsy and seed amplification assay to disclose pathological α-synuclein in RBD|10.1038/s41531-023-00473-5
The IPDGC/GP2 Hackathon - an open science event for training in data science, genomics, and collaboration using Parkinson’s disease data|10.1038/s41531-023-00472-6
G Protein-Dependent Activation of the PKA-Erk1/2 Pathway by the Striatal Dopamine D1/D3 Receptor Heteromer Involves Beta-Arrestin and the Tyrosine Phosphatase Shp-2|10.3390/biom13030473
Performance of machine learning algorithms for dementia assessment: impacts of language tasks, recording media, and modalities|10.1186/s12911-023-02122-6
Polygenic Parkinson's Disease Genetic Risk Score as Risk Modifier of Parkinsonism in Gaucher Disease|10.1002/mds.29342
Addition to “Nanostars Carrying Multifunctional Neurotrophic Dendrimers Protect Neurons in Preclinical In Vitro Models of Neurodegenerative Disorders”|10.1021/acsami.3c02300
B lymphocyte responses in Parkinson’s disease and their possible significance in disease progression|10.1093/braincomms/fcad060
Impaired dopamine release in Parkinson’s disease|10.1093/brain/awad064
Methods and applications for single-cell and spatial multi-omics|10.1038/s41576-023-00580-2
Plasma biomarkers for diagnosis of Alzheimer's disease and prediction of cognitive decline in individuals with mild cognitive impairment|10.3389/fneur.2023.1069411
Use of Bayesian decision analysis to maximize value in patient-centered randomized clinical trials in Parkinson’s disease|10.1080/10543406.2023.2170400
Dementia prevention in memory clinics: recommendations from the European task force for brain health services|10.1016/j.lanepe.2022.100576
Dopamine transporter and synaptic vesicle sorting defects underlie auxilin-associated Parkinson’s disease|10.1016/j.celrep.2023.112231
Letter in response to Cole-Hunter et al., 2023: What does “Parkinson’s disease mortality” mean?|10.1016/j.envint.2023.107852
Protocol to measure centrosome cohesion deficits mediated by pathogenic LRRK2 in cultured cells using confocal microscopy|10.1016/j.xpro.2022.102024
LRRK2 and GBA1 variant carriers have higher urinary bis(monacylglycerol) phosphate concentrations in PPMI cohorts|10.1038/s41531-023-00468-2
Duodenal alpha‐Synuclein Pathology and Enteric Gliosis in Advanced Parkinson's Disease|10.1002/mds.29358
Quantitative proteomics and phosphoproteomics of urinary extracellular vesicles define putative diagnostic biosignatures for Parkinson's Disease|10.5281/zenodo.7679354
Updated Percentiles for the University of Pennsylvania Smell Identification Test in Adults 50 Years of Age and Older|10.1212/wnl.0000000000207077
A call for clinical trial globalization in Alzheimer's disease and related dementia|10.1002/alz.12995
Voltage-Gated Proton Channel Hv1 Regulates Neuroinflammation and Dopaminergic Neurodegeneration in Parkinson’s Disease Models|10.3390/antiox12030582
Mitochondrial function-associated genes underlie cortical atrophy in prodromal synucleinopathies|10.1093/brain/awad044
Single‐cell sequencing of entorhinal cortex reveals widespread disruption of neuropeptide networks in Alzheimer's disease|10.1002/alz.12979
Brain expression quantitative trait locus and network analyses reveal downstream effects and putative drivers for brain-related diseases|10.1038/s41588-023-01300-6
A progression analysis of motor features in Parkinson's disease based on the mapper algorithm|10.3389/fnagi.2023.1047017
Childhood Trauma and Parkinson Disease|10.1212/cpj.0000000000200124
Artificial intelligence-based clustering and characterization of Parkinson's disease trajectories|10.1038/s41598-023-30038-8
Striatal Dopamine Loss in Early Parkinson's Disease: Systematic Review and Novel Analysis of Dopamine Transporter Imaging|10.1002/mdc3.13687
Two-year clinical progression in focal and diffuse subtypes of Parkinson’s disease|10.1038/s41531-023-00466-4
A novel brain penetrant c-Abl tyrosine kinase inhibitor: Paving a path forward to success in disease modification in Parkinson's disease|10.1016/j.parkreldis.2023.105325
Macroscopic dynamics of neural networks with heterogeneous spiking thresholds|10.1103/physreve.107.024306
Brain Degeneration in Synucleinopathies Based on Analysis of Cognition and Other Nonmotor Features: A Multimodal Imaging Study|10.3390/biomedicines11020573
Lewy Body-like Pathology and Loss of Dopaminergic Neurons in Midbrain Organoids Derived from Familial Parkinson’s Disease Patient|10.3390/cells12040625
Mutations in Parkinsonism-linked endocytic proteins synaptojanin1 and auxilin have synergistic effects on dopaminergic axonal pathology|10.1038/s41531-023-00465-5
Structural basis for ATG9A recruitment to the ULK1 complex in mitophagy initiation|10.1126/sciadv.adg2997
ATP and NAD+ Deficiency in Parkinson’s Disease|10.3390/nu15040943
Guanylyl cyclase C ameliorates visceral pain: an unsuspected link|10.1172/jci166703
Statin Use and Incidence of Parkinson's Disease in Women from the FrenchE3NCohort Study|10.1002/mds.29349
Accurate Detection of α‐Synuclein Seeds in Cerebrospinal Fluid from Isolated Rapid Eye Movement Sleep Behavior Disorder and Patients with Parkinson's Disease in the DeNovo Parkinson (DeNoPa) Cohort|10.1002/mds.29329
AI reveals insights into link between CD33 and cognitive impairment in Alzheimer’s Disease|10.1371/journal.pcbi.1009894
Machine learning within the Parkinson’s progression markers initiative: Review of the current state of affairs|10.3389/fnagi.2023.1076657
A proteogenomic view of Parkinson’s disease causality and heterogeneity|10.1038/s41531-023-00461-9
Two‐Year observational study of autonomic skin function in patients with Parkinson's disease compared to healthy individuals|10.1111/ene.15733
Data Archive for the BRAIN Initiative (DABI)|10.1038/s41597-023-01972-z
Novel Green Fluorescent Polyamines to Analyze ATP13A2 and ATP13A3 Activity in the Mammalian Polyamine Transport System|10.3390/biom13020337
Novel LRR-ROC Motif That Links the N- and C-terminal Domains in LRRK2 Undergoes an Order–Disorder Transition Upon Activation|10.1016/j.jmb.2023.167999
SOD1-Related Cerebellar Ataxia and Motor Neuron Disease: Cp Variant as Functional Modifier?|10.1007/s12311-023-01527-3
Acid ceramidase involved in pathogenic cascade leading to accumulation of α-synuclein in iPSC model of GBA1-associated Parkinson’s disease|10.1093/hmg/ddad025
Alterations in the LRRK2-Rab pathway in urinary extracellular vesicles as Parkinson’s disease and pharmacodynamic biomarkers|10.1038/s41531-023-00445-9
Expert Consensus on the Use of On‐Demand Treatments for OFF Episodes in Parkinson's Disease: A Modified Delphi Panel|10.1002/mdc3.13690
Regulators of proteostasis are translationally repressed in fibroblasts from patients with sporadic and LRRK2-G2019S Parkinson’s disease|10.1038/s41531-023-00460-w
The Foundational Data Initiative for Parkinson Disease: Enabling efficient translation from genetic maps to mechanism|10.1016/j.xgen.2023.100261
The relationship between hippocampal amyloid beta burden and spatial distribution of neurofibrillary degeneration|10.1002/alz.12966
Differential serum microRNAs in premotor LRRK2 G2019S carriers from Parkinson’s disease|10.1038/s41531-023-00451-x
The AAA+ chaperone VCP disaggregates Tau fibrils and generates aggregate seeds in a cellular system|10.1038/s41467-023-36058-2
Composite measures of motor performance and self-efficacy are better determinants of postural instability and gait difficulties than individual clinical measures in Parkinson's disease|10.1016/j.parkreldis.2022.105251
NLRP3 inflammasome in neurodegenerative disease|10.1016/j.trsl.2022.08.006
Linear ubiquitination induces NEMO phase separation to activate NF-κB signaling|10.26508/lsa.202201607
Peripheral inflammatory immune response differs among sporadic and familial Parkinson’s disease|10.1038/s41531-023-00457-5
In vivoreduction of age-dependent neuromelanin accumulation mitigates features of Parkinson’s disease|10.1093/brain/awac445
New protocol for kinetic assay seeding ability recovery “KASAR” from formalin-fixed paraffin-embedded tissues|10.3389/fmolb.2023.1087982
Tissue specific LRRK2 interactomes reveal a distinct striatal functional unit|10.1371/journal.pcbi.1010847
Distribution of cholinergic nerve terminals in the aged human brain measured with [18F]FEOBV PET and its correlation with histological data|10.1016/j.neuroimage.2023.119908
Proceedings of the 10th annual deep brain stimulation think tank: Advances in cutting edge technologies, artificial intelligence, neuromodulation, neuroethics, interventional psychiatry, and women in neuromodulation|10.3389/fnhum.2022.1084782
Frequency of and factors associated with antiseizure medication discontinuation discussions and decisions in patients with epilepsy: A multicenter retrospective chart review|10.1002/epi4.12695
Genome‐Wide Analysis of Structural Variants in Parkinson Disease|10.1002/ana.26608
Atrophy of the Cholinergic Basal Forebrain can Detect Presynaptic Cholinergic Loss in Parkinson's Disease|10.1002/ana.26596
Embracing Monogenic Parkinson's Disease: The MJFF Global Genetic PD Cohort|10.1002/mds.29288
Integrated Multi‐Cohort Analysis of the Parkinson's Disease Gut Metagenome|10.1002/mds.29300
Parkin coregulates glutathione metabolism in adult mammalian brain|10.1186/s40478-022-01488-4
The SMN Complex at the Crossroad between RNA Metabolism and Neurodegeneration|10.3390/ijms24032247
Time-resolved RNA signatures of CD4+ T cells in Parkinson’s disease|10.1038/s41420-023-01333-0
Endosomal escape of RNA therapeutics: How do we solve this rate-limiting problem?|10.1261/rna.079507.122
Genetic Testing for GBA and LRRK2 Mutations: Is it Time for Routine Use?|10.1002/mdc3.13619
Neurofilament light chain is increased in the parahippocampal cortex and associates with pathological hallmarks in Parkinson’s disease dementia|10.1186/s40035-022-00328-8
Why Therapeutic Trials Fail in Primary Tauopathies|10.1002/mds.29322
Loss of parkin causes endoplasmic reticulum calcium dyshomeostasis by upregulation of reticulocalbin 1|10.1111/ejn.15917
Seed amplification assay for the detection of pathologic alpha-synuclein aggregates in cerebrospinal fluid|10.1038/s41596-022-00787-3
α-Synuclein Promotes Neuronal Dysfunction and Death by Disrupting the Binding of Ankyrin to β-Spectrin|10.1523/jneurosci.1922-22.2022
New Tools for Lineage Tracing in Cancer In Vivo|10.1146/annurev-cancerbio-061421-123301
Sex-Specific Microglial Responses to Glucocerebrosidase Inhibition: Relevance to GBA1-Linked Parkinson’s Disease|10.3390/cells12030343
The Potent and Paradoxical Biology of Cellular Senescence in Cancer|10.1146/annurev-cancerbio-061421-124434
Ethnicity and Parkinson’s Disease: Motor and Nonmotor Features and Disease Progression in Latino Patients Living in Rural California|10.1093/gerona/glad016
Bradykinesia and Its Progression Are Related to Interhemispheric Beta Coherence|10.1002/ana.26605
EEG Entropy in REM Sleep as a Physiologic Biomarker in Early Clinical Stages of Alzheimer’s Disease|10.3233/jad-221152
Enhancing Diversity and Inclusion in Clinical Trials|10.1002/cpt.2819
Protective Effects of Lovastatin in a Population‐BasedALSStudy and Mouse Model|10.1002/ana.26600
Serotonergic and dopaminergic control of impulsivity in gambling disorder|10.1111/adb.13264
Unconventional secretion of α-synuclein mediated by palmitoylated DNAJC5 oligomers|10.7554/elife.85837
In Situ Global Structural Proteome Analysis Identifies Potential Biomarkers for Parkinson's Disease|10.1002/mds.29315
Mitochondrial and Endoplasmic Reticulum Stress Trigger Triglyceride Accumulation in Models of Parkinson’s Disease Independent of Mutations in MAPT|10.3390/metabo13010112
Genome-wide association study of brain biochemical phenotypes reveals distinct genetic architecture of Alzheimer’s disease related proteins|10.1186/s13024-022-00592-2
Cholinergic Nucleus 4 Degeneration and Cognitive Impairment in Isolated Rapid Eye Movement Sleep Behavior Disorder|10.1002/mds.29306
Classification of GBA1 Variants in Parkinson's Disease: The GBA1‐PD Browser|10.1002/mds.29314
High-content phenotypic screen to identify small molecule enhancers of Parkin-dependent ubiquitination and mitophagy|10.1016/j.slasd.2022.12.004
Susceptibility Magnetic Resonance Imaging Correlates with Glial Density and Tau in the Substantia Nigra Pars Compacta|10.1002/mds.29311
A comprehensive cognitive analysis of cervical dystonia: A single centre study|10.1016/j.prdoa.2023.100226
Anatomical substrates and connectivity for bradykinesia motor features in Parkinson’s disease after subthalamic nucleus deep brain stimulation|10.1093/braincomms/fcad337
Development and Pilot Testing of the Tremor Retrainer Smartphone Application for the Treatment of Functional Tremor|10.5334/tohm.823
Diversity of dynamic voltage patterns in neuronal dendrites revealed by nanopipette electrophysiology|10.1039/d2nr03475a
Erythroid Differentiation Dependent Interaction of VPS13A with XK at the Plasma Membrane of K562 Cells|10.1177/25152564231215133
escheR: unified multi-dimensional visualizations with Gestalt principles|10.1093/bioadv/vbad179
Explainable classification of Parkinson’s disease using deep learning trained on a large multi-center database of T1-weighted MRI datasets|10.1016/j.nicl.2023.103405
Eye-Closure Rate Modulation in Blepharospasm|10.5334/tohm.748
Higher Health Service Costs Associated With Delayed Diagnosis of Functional Neurological Disorder|10.1176/appi.neuropsych.21110288
How to manage the initiation of apomorphine therapy without antiemetic pretreatment: A review of the literature|10.1016/j.prdoa.2022.100174
Identification and Management of Persistent Stimulation-Induced Dyskinesia Associated with STN DBS: The See-Saw Dilemma|10.5334/tohm.780
Internal tremor in people with Parkinson’s Disease: Demographic characteristics and comorbid symptoms|10.1016/j.prdoa.2023.100229
Keystroke-Dynamics for Parkinson's Disease Signs Detection in an At-Home Uncontrolled Population: A New Benchmark and Method|10.1109/tbme.2022.3187309
Kv1.3 K+Channel Physiology Assessed by Genetic and Pharmacological Modulation|10.1152/physiol.00010.2022
Listening session with the US Food and Drug Administration, Lewy Body Dementia Association, and an expert panel|10.1002/trc2.12375
Longitudinal hippocampal subfields, CSF biomarkers, and cognition in patients with Parkinson disease|10.1016/j.prdoa.2023.100199
Lunapark deficiency leads to an autosomal recessive neurodevelopmental phenotype with a degenerative course, epilepsy and distinct brain anomalies|10.1093/braincomms/fcad222
Multiclass prediction of different dementia syndromes based on multi-centric volumetric MRI imaging|10.1016/j.nicl.2023.103320
Network connectivity and local transcriptomic vulnerability underpin cortical atrophy progression in Parkinson’s disease|10.1016/j.nicl.2023.103523
Neural correlates of impulse control behaviors in Parkinson’s disease: Analysis of multimodal imaging data|10.1016/j.nicl.2023.103315
Protein network analysis links the NSL complex to Parkinson’s disease via mitochondrial and nuclear biology|10.1039/d2mo00325b
Resolving inter-regional communication capacity in the human connectome|10.1162/netn_a_00318
State, trait, and accumulated features of the Alzheimer's Disease Assessment Scale Cognitive Subscale (ADAS‐Cog) in mild Alzheimer's disease|10.1002/trc2.12376
Synergistic associations of depressive symptoms and aging on cognitive decline in early Parkinson’s disease|10.1016/j.prdoa.2023.100192
Testing for Allele-specific Expression from Human Brain Samples|10.21769/bioprotoc.4832
The complex role of inflammation and gliotransmitters in Parkinson's disease|10.1016/j.nbd.2022.105940
UniProtExtractR: an app and R package for easily extracting protein-specific UniProtKB information and fine-tuning organelle resolution|10.1093/bioadv/vbad157
Updated Parkinson's disease motor subtypes classification and correlation to cerebrospinal homovanillic acid and 5-hydroxyindoleacetic acid levels|10.1016/j.prdoa.2023.100187
α-Synuclein expression in response to bacterial ligands and metabolites in gut enteroendocrine cells: an in vitro proof of concept study|10.1093/braincomms/fcad285
Journal Production Guidance for Software and Data Citations|10.22541/essoar.167252601.17695321
A Collaboration for Guiding the Rational Design of Multielement Solid Catalysts|10.1002/ange.202216327
A Collaboration for Guiding the Rational Design of Multielement Solid Catalysts|10.1002/anie.202216327
Cognitive Behavioral Therapy for Anxiety in Parkinson’s Disease Induces Functional Brain Changes|10.3233/jpd-223527
Soluble Epoxide Hydrolase Derived Linoleic Acid Oxylipins, Small Vessel Disease Markers, and Neurodegeneration in Stroke|10.1161/jaha.122.026901
Transcriptome Analysis Reveals a Two-Gene Signature Links to Motor Progression and Alterations of Immune Cells in Parkinson’s Disease|10.3233/jpd-223454
Genome-wide evaluation of the effect of short tandem repeat variation on local DNA methylation|10.1101/gr.277057.122
Golgi apparatus, endoplasmic reticulum and mitochondrial function implicated in Alzheimer’s disease through polygenic risk and RNA sequencing|10.1038/s41380-022-01926-8
High-speed imaging reveals the bimodal nature of dense core vesicle exocytosis|10.1073/pnas.2214897120
Using Downgaze Palsy Progression Rate to Model Survival in Progressive Supranuclear Palsy–Richardson Syndrome|10.1002/mds.29299
